X,Y,MAR_WARD,ADDRESS,PROJECT_NAME,STATUS_PUBLIC,AGENCY_CALCULATED,TOTAL_AFFORDABLE_UNITS,LATITUDE,LONGITUDE,AFFORDABLE_UNITS_AT_0_30_AMI,AFFORDABLE_UNITS_AT_31_50_AMI,AFFORDABLE_UNITS_AT_51_60_AMI,AFFORDABLE_UNITS_AT_61_80_AMI,AFFORDABLE_UNITS_AT_81_AMI,CASE_ID,ADDRESS_ID,XCOORD,YCOORD,FULLADDRESS,GIS_LAST_MOD_DTTM,OBJECTID
-76.9397679550029,38.8819363088534,Ward 7                                                                                                                                                                                                  ,"4802 Alabama Avenue Southeast, Washington, District of Columbia 20019                                                                                                                                   ",Benning Heights Apartments,Completed 2015 to Date                                                                                                                                                                                  ,DCHFA DHCD                                                                                                                                                                                              ,148,38.88208722,-76.93992495,60,60,28,0,0,                                                  ,152226,405226.28,134900.95,4802 ALABAMA AVENUE SE,2022/04/04 05:00:58+00,80983
-76.9825538162463,38.9267378162596,Ward 5                                                                                                                                                                                                  ,"1545 Girard Street Northeast, Washington, District of Columbia 20018                                                                                                                                    ",Girard Street Community Partners,Completed 2015 to Date                                                                                                                                                                                  ,DCHA DHCD                                                                                                                                                                                               ,25,38.92670425,-76.98265188,25,0,0,0,0,                                                  ,306577,401512.98,139872.7,1545 GIRARD STREET NE,2022/04/04 05:00:58+00,80984
-76.9909415785034,38.8636981812088,Ward 8                                                                                                                                                                                                  ,"2255 Martin Luther King Jr Ave SE, Washington, District of Columbia 20020                                                                                                                               ",2255 Martin Luther King Jr. Ave SE,Pipeline                                                                                                                                                                                                ,DCHA DCHFA DHCD OP                                                                                                                                                                                      ,57,38.8636904,-76.9909393,4,27,26,0,0,08-07B                                            ,,400786.360189141,132874.696691087,,2022/04/04 05:00:58+00,80985
-77.002422611739,38.8282936433536,Ward 8                                                                                                                                                                                                  ,"4319 3rd Street Southeast, Washington, District of Columbia 20032                                                                                                                                       ",Atlantic Terrace,Completed 2015 to Date                                                                                                                                                                                  ,DCHFA DHCD                                                                                                                                                                                              ,195,38.828286,-77.00242033,78,117,0,0,0,                                                  ,295776,399789.84,128944.51,4319 3RD STREET SE,2022/04/04 05:00:58+00,80986
-77.0317275665896,38.9075951667088,Ward 2                                                                                                                                                                                                  ,"1301 14th St NW, Washington, District of Columbia 20005                                                                                                                                                 ",N Street Village,Completed 2015 to Date                                                                                                                                                                                  ,DCHA DCHFA DHCD                                                                                                                                                                                         ,95,38.90758771,-77.03172527,44,12,39,0,0,                                                  ,225359,397248.32,137748.04,1301 14TH STREET NW,2022/04/04 05:00:58+00,80987
-77.0243254629173,38.9384052257973,Ward 4                                                                                                                                                                                                  ,"3825 Georgia Avenue, Washington, District of Columbia                                                                                                                                                   ",3825 Georgia Avenue,Completed 2015 to Date                                                                                                                                                                                  ,DMPED                                                                                                                                                                                                   ,7,38.93835,-77.024347,4,0,3,0,0,                                                  ,295066,397891.25,141168.02,3825 GEORGIA AVENUE NW,2022/04/04 05:00:58+00,80988
-76.9863307160985,38.8340742307964,Ward 8                                                                                                                                                                                                  ,"4300 12th Street Southeast, Washington, District of Columbia 20032                                                                                                                                      ",4300 12th Street SE,Completed 2015 to Date                                                                                                                                                                                  ,DCHA DHCD                                                                                                                                                                                               ,26,38.83416779,-76.98643035,26,0,0,0,0,                                                  ,288153,401187.02,129586.28,4300 12TH STREET SE,2022/04/04 05:00:58+00,80989
-77.0233774163472,38.9277499448645,Ward 1                                                                                                                                                                                                  ,"2920 Georgia Ave NW, Washington, District of Columbia 20001                                                                                                                                             ",2920 Georgia Ave NW,Completed 2015 to Date                                                                                                                                                                                  ,DHCD                                                                                                                                                                                                    ,2,38.92774249,-77.02337512,0,1,0,1,0,                                                  ,232771,397973.14,139985.17,2920 GEORGIA AVENUE NW,2022/04/04 05:00:58+00,80990
-77.0017539931042,38.9000126261217,Ward 6                                                                                                                                                                                                  ,"301 H St NE, Washington, District of Columbia 20002                                                                                                                                                     ",301 H Street NE,Completed 2015 to Date                                                                                                                                                                                  ,DHCD                                                                                                                                                                                                    ,3,38.90000517,-77.00175171,0,0,0,3,0,                                                  ,310994,399848.05,136905.84,301 H STREET NE,2022/04/04 05:00:58+00,80991
-76.9122020558731,38.8948347604205,Ward 7                                                                                                                                                                                                  ,"400 Eastern Ave NE, Washington, District of Columbia 20019                                                                                                                                              ",Eden Place - Phase II,Pipeline                                                                                                                                                                                                ,DMPED                                                                                                                                                                                                   ,14,38.89482697,-76.9121998,0,2,0,3,9,                                                  ,,407616.679801471,136334.716771663,,2022/04/04 05:00:58+00,80992
-76.9966276248034,38.9246151784159,Ward 5                                                                                                                                                                                                  ,"625 Edgewood St NE, Washington, District of Columbia 20017                                                                                                                                              ",Edgewood Terrace I,Completed 2015 to Date                                                                                                                                                                                  ,DCHFA                                                                                                                                                                                                   ,292,38.92460772,-76.99662534,0,0,202,90,0,                                                  ,289575,400292.63,139636.93,625 EDGEWOOD STREET NE,2022/04/04 05:00:58+00,80993
-76.9925483868101,38.8602236870215,Ward 8                                                                                                                                                                                                  ,"2500 Sayles Place Southeast, Washington, District of Columbia 20020                                                                                                                                     ",City Homes at Sheridan Station 2c,Completed 2015 to Date                                                                                                                                                                                  ,DCHA                                                                                                                                                                                                    ,20,38.86021624,-76.99254611,0,0,20,0,0,                                                  ,308348,400646.94,132488.99,2500 SAYLES PLACE SE,2022/04/04 05:00:58+00,80994
-77.00938113238,38.9102916929383,Ward 6                                                                                                                                                                                                  ,"1522 North Capitol Street Northwest, Washington, District of Columbia 20002                                                                                                                             ",Cycle House,Pipeline                                                                                                                                                                                                ,DMPED DHCD                                                                                                                                                                                              ,18,38.910182,-77.009376,2,5,11,0,0,                                                  ,331763,399186.56,138046.94,1522 NORTH CAPITOL STREET NW,2022/04/04 05:00:58+00,80995
-77.0094360764393,38.9064031455438,Ward 6                                                                                                                                                                                                  ,"1200 North Capitol St NW, Washington, District of Columbia 20002                                                                                                                                        ",Tyler House Apartments,Completed 2015 to Date                                                                                                                                                                                  ,DCHFA                                                                                                                                                                                                   ,284,38.90639569,-77.00943379,0,0,284,0,0,                                                  ,237128,399181.75,137615.28,1200 NORTH CAPITOL STREET NW,2022/04/04 05:00:58+00,80996
-77.030061079307,38.9625192258246,Ward 4                                                                                                                                                                                                  ,"5922 13th St NW, Washington, District of Columbia 20011                                                                                                                                                 ",Valencia Apartments,Completed 2015 to Date                                                                                                                                                                                  ,DHCD                                                                                                                                                                                                    ,29,38.96249626,-77.03007701,0,0,29,0,0,                                                  ,243483,397394.87,143845.04,5922 13TH STREET NW,2022/04/04 05:00:58+00,80997
-77.0253687270172,38.916299769034,Ward 1                                                                                                                                                                                                  ,"1923 Vermont Ave NW, Washington, District of Columbia                                                                                                                                                   ",Grimke Elementary School,Under Construction                                                                                                                                                                                      ,DMPED                                                                                                                                                                                                   ,21,38.91629231,-77.02536643,3,14,0,4,0,                                                  ,239514,397800.12,138714.15,1923 VERMONT AVENUE NW,2022/04/04 05:00:58+00,80998
-77.0234190537911,38.9288168812209,Ward 1                                                                                                                                                                                                  ,"3012 Georgia Avenue Northwest, Washington, District of Columbia 20001                                                                                                                                   ",Bruce Monroe Build First,Pipeline                                                                                                                                                                                                ,DMPED OP                                                                                                                                                                                                ,201,38.92880909,-77.02341676,90,0,0,111,0,16-11                                             ,294551,397969.56,140103.61,3012 GEORGIA AVENUE NW,2022/04/04 05:00:58+00,80999
-77.0315956206277,38.9199761725594,Ward 1                                                                                                                                                                                                  ,"1350 Florida Avenue, NW, Washington, District of Columbia                                                                                                                                               ","1350 Florida Avenue, NW",Completed 2015 to Date                                                                                                                                                                                  ,DHCD                                                                                                                                                                                                    ,4,38.91996871,-77.03159333,0,0,0,4,0,                                                  ,311601,397260.24,139122.43,1350 FLORIDA AVENUE NW,2022/04/04 05:00:58+00,81000
-76.9661872742719,38.9207667936436,Ward 5                                                                                                                                                                                                  ,"2226 30th Place Northeast, Washington, District of Columbia 20018                                                                                                                                       ",30th Place Crescent Townhomes Phase II,Completed 2015 to Date                                                                                                                                                                                  ,DHCD                                                                                                                                                                                                    ,21,38.920759,-76.966185,0,0,13,8,0,                                                  ,,402932.390117509,139210.264330662,,2022/04/04 05:00:58+00,81001
-77.0064177851175,38.8315049202503,Ward 8                                                                                                                                                                                                  ,"22 Atlantic Street Southeast, Washington, District of Columbia 20032                                                                                                                                    ","22 Atlantic Cooperative Association, Inc. (Acq)",Completed 2015 to Date                                                                                                                                                                                  ,DHCD                                                                                                                                                                                                    ,15,38.83149748,-77.0064155,7,5,3,0,0,                                                  ,50871,399442.96,129301,22 ATLANTIC STREET SE,2022/04/04 05:00:58+00,81002
