OBJECTID,FeatureId,Name,Sensitive,Type,Access,LastUpdate,SHAPE_Length,SHAPE_Area
561,74470,LAKENHEATH FEN,OPEN,RSPB,Publicised Reserve,2021/04/14 00:00:00+00,21726.4929982025,-4435351.26323681
562,74471,READ'S ISLAND,OPEN,RSPB,Non-Publicised Reserve,2021/07/16 00:00:00+00,10944.4087635324,-1864518.45506479
563,74472,CORRIMONY,OPEN,RSPB,Publicised Reserve,2020/10/30 00:00:00+00,38614.445384525,-17141459.6475142
564,74473,ONZIEBUST,OPEN,RSPB,Publicised Reserve,2021/01/22 00:00:00+00,17866.418698983,-2752307.98706969
565,74474,LOCH NA MUILNE,OPEN,RSPB,Publicised Reserve,2021/05/06 00:00:00+00,2743.78792557081,-352746.18782644
566,74475,OTMOOR,OPEN,RSPB,Publicised Reserve,2019/10/18 00:00:00+00,19954.6150230355,-4611701.6452742
567,74476,SHORNE MARSHES,OPEN,RSPB,Non-Publicised Reserve,2021/07/16 00:00:00+00,15403.1749591571,-2136292.12163787
568,74477,MOUSA,OPEN,RSPB,Publicised Reserve,2021/01/20 00:00:00+00,13313.6992868564,-1977542.05267226
569,74478,CLIFFE POOLS,OPEN,RSPB,Publicised Reserve,2020/04/03 00:00:00+00,9191.18071221573,-2373824.46232398
570,74479,SALTHOLME,OPEN,RSPB,Publicised Reserve,2021/03/19 00:00:00+00,44343.3545969364,-7015669.32336039
571,74480,EILEANAN DUBHA,OPEN,RSPB,Non-Publicised Reserve,2020/11/26 00:00:00+00,1376.88996234032,-18106.8570648448
572,74481,KIRKCONNELL MERSE,OPEN,RSPB,Non-Publicised Reserve,2021/07/16 00:00:00+00,11370.2003771166,-2865570.248312
573,74482,FREISTON SHORE,OPEN,RSPB,Publicised Reserve,2019/08/22 00:00:00+00,14815.4831134532,-8849491.95511064
574,74483,BRODGAR,OPEN,RSPB,Publicised Reserve,2020/10/28 00:00:00+00,4529.97914645999,-364675.194485066
575,74484,COTTASCARTH & RENDALL MOSS,OPEN,RSPB,Publicised Reserve,2020/10/23 00:00:00+00,25429.918016281,-3244810.68751109
576,74485,BRADING MARSHES,OPEN,RSPB,Publicised Reserve,2021/08/12 00:00:00+00,27955.003470438,-4558372.53024979
577,74486,DURNESS,OPEN,RSPB,Non-Publicised Reserve,2021/01/07 00:00:00+00,4713.27288155304,-71869.3145552142
578,74487,RAINHAM MARSHES,OPEN,RSPB,Publicised Reserve,2020/07/01 00:00:00+00,13976.1832950725,-4069278.46237528
579,74488,AGHATIROURKE,OPEN,RSPB,Publicised Reserve,2021/09/23 00:00:00+00,15465.2268876351,-6888300.51622078
580,74490,OUSE FEN,OPEN,RSPB,Publicised Reserve,2021/06/23 00:00:00+00,15532.0283976327,-3002743.91139894
581,74491,WOLVES WOOD RESERVES,OPEN,RSPB,Publicised Reserve,2020/01/03 00:00:00+00,9248.37274033273,-1131830.7032443
582,74492,LOCH GRUINART,OPEN,RSPB,Publicised Reserve,2021/02/03 00:00:00+00,25809.7603101695,-16983600.8493668
583,74493,DEARNE VALLEY,OPEN,RSPB,Publicised Reserve,2020/08/07 00:00:00+00,27682.4614411821,-2794131.68539964
584,74494,ST BEES HEAD,OPEN,RSPB,Publicised Reserve,2020/09/11 00:00:00+00,9641.61800179927,-220240.029547983
585,74495,FARNHAM HEATH,OPEN,RSPB,Publicised Reserve,2020/11/11 00:00:00+00,10630.8672560491,-1630247.66323946
586,74497,GREYLAKE,OPEN,RSPB,Publicised Reserve,2020/09/24 00:00:00+00,9821.81614862802,-1401708.44879021
587,74498,CWM CLYDACH,OPEN,RSPB,Publicised Reserve,2021/04/29 00:00:00+00,21655.6565872102,-830264.215248385
588,74499,BLEAN WOODS,OPEN,RSPB,Publicised Reserve,2020/03/06 00:00:00+00,24540.6917527634,-5167637.05036334
589,74500,TAY,OPEN,RSPB,Non-Publicised Reserve,2021/11/24 00:00:00+00,44849.2787187857,-8534314.81211973
590,74501,NORMANTON DOWN,OPEN,RSPB,Non-Publicised Reserve,2020/04/02 00:00:00+00,4928.82508538183,-807932.448697967
591,74502,LEWES BROOKS,OPEN,RSPB,Non-Publicised Reserve,2021/07/16 00:00:00+00,2391.78199629782,-248613.116209862
592,74503,TROUP HEAD,OPEN,RSPB,Publicised Reserve,2021/01/28 00:00:00+00,9138.36355494693,-300647.586641486
593,74504,MEDMERRY,OPEN,RSPB,Publicised Reserve,2020/05/29 00:00:00+00,24584.0280906775,-5354713.54402975
594,74505,BECKINGHAM MARSHES,OPEN,RSPB,Publicised Reserve,2017/05/18 00:00:00+00,6386.12164076448,-925310.225272464
595,74506,COLONSAY,OPEN,RSPB,Non-Publicised Reserve,2021/10/21 00:00:00+00,15814.2573398771,-2232122.65661632
596,74507,WINTERBOURNE DOWNS,OPEN,RSPB,Publicised Reserve,2020/11/06 00:00:00+00,14647.593723301,-3081055.42332313
597,74508,"HESKETH OUT MARSH, RIBBLE ESTUARY",OPEN,RSPB,Publicised Reserve,2021/07/08 00:00:00+00,32071.6466828976,-5175191.03257918
598,74509,MIDDLETON LAKES,OPEN,RSPB,Publicised Reserve,2017/06/15 00:00:00+00,13340.4507148426,-1602190.39150834
